TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
1_Sam,10.668866,16.862227,25.832148,10.054742,16.36872,23.05915,10.024857,15.804649,22.568071,10.265763,15.312064,24.512335,11.049389,16.006129,23.515306,인슐 탄수 X
3_Sam,11.633965,19.718086,34.036922,11.699314,19.583994,33.831881,10.829982,19.030648,34.071627,10.817329,18.438042,33.128348,10.984964,19.630103,32.60323,인슐 탄수 X
4_Sam,9.36204,15.306646,26.05572,8.870023,14.948755,24.629682,9.092525,14.434452,24.369256,8.685906,14.123222,24.616431,8.760682,14.345937,24.647594,
5_Sam,12.294061,21.088993,32.107711,11.963608,20.026747,31.088622,11.040552,19.650765,31.206844,11.997146,19.66301,32.376391,11.70101,19.850562,31.04025,탄수 X
6_Sam,13.868603,26.050018,41.83287,12.98451,24.734004,40.351199,12.480938,22.457876,40.406149,12.572594,22.514282,39.404353,13.901769,25.516798,39.502485,인슐 탄수 X
7_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
8_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
9_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
10_Sam,,,,,,,,,,,,,,,,
11_Sam,,,,,,,,,,,,,,,,인슐 탄수 0하고 제대로된 값하고 섞여있음
12_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
13_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
14_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
15_Sam,,,,,,,,,,,,,,,,인슐 탄수 0하고 제대로된 값하고 섞여있음
16_Sam,,,,,,,,,,,,,,,,인슐 탄수 0하고 제대로된 값하고 섞여있음
17_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
18_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
19_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
20_Sam,,,,,,,,,,,,,,,,데이터 너무 적음 
21_Sam,,,,,,,,,,,,,,,,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,,,,,,,,,,,,,,,,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,,,,,,,,,,,,,,,,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,,,,,,,,,,,,,,,,553/인슐린 X 탄수화물만 (2번)
25_Sam,,,,,,,,,,,,,,,,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,,,,,,,,,,,,,,,,1143/인슐 탄수 0만 입력 되어있음
27_Sam,,,,,,,,,,,,,,,,2010/인슐 탄수 0만 입력 되어있음
28_Sam,,,,,,,,,,,,,,,,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
29_Sam,,,,,,,,,,,,,,,,685/인슐 탄수 0만 입력 되어있음
30_Sam,,,,,,,,,,,,,,,,1242/인슐 탄수 0만 입력 되어있음
31_Sam,,,,,,,,,,,,,,,,1453/인슐 탄수 0만 입력 되어있음
32_Sam,,,,,,,,,,,,,,,,2003/인슐 탄수 0하고 제대로된 값하고 섞여있음
33_Sam,,,,,,,,,,,,,,,,1415/인슐 탄수 0하고 제대로된 값하고 섞여있음
34_Sam,,,,,,,,,,,,,,,,1295/인슐 탄수 0만 입력 되어있음
35_Sam,,,,,,,,,,,,,,,,2014/인슐 X 탄수화물만 (2번)
36_Sam,,,,,,,,,,,,,,,,1710/인슐 탄수 0만 입력 되어있음
37_Sam,,,,,,,,,,,,,,,,2053/인슐 탄수 0만 입력 되어있음
38_Sam,,,,,,,,,,,,,,,,1485/인슐 탄수 0만 입력 되어있음
39_Sam,,,,,,,,,,,,,,,,1473/인슐 탄수 0만 입력 되어있음
40_Sam,,,,,,,,,,,,,,,,1874/인슐 탄수 0만 입력 되어있음/6/20
41_Sam,,,,,,,,,,,,,,,,1947/인슐 X 탄수화물만 (2번)
42_Sam,,,,,,,,,,,,,,,,1147/인슐 탄수 0만 입력 되어있음/15/13
PASS,,,,,,,,,,,,,,,,90/인슐 탄수 0만 입력 되어있음/2/1
44_Sam,,,,,,,,,,,,,,,,1307/인슐 탄수 0만 입력 되어있음/19/14
PASS,,,,,,,,,,,,,,,,24/인슐 탄수 0만 입력 되어있음/4/3/전부 교정
46_Sam,,,,,,,,,,,,,,,,2053/인슐 탄수 0만 입력 되어있음/22/24
47_Sam,,,,,,,,,,,,,,,,2054/인슐 탄수 0만 입력 되어있음/19/11
48_Sam,,,,,,,,,,,,,,,,1179/인슐 탄수 0만 입력 되어있음/11/16
,,,,,,,,,,,,,,,,1924/인슐 탄수 0만 입력 되어있음/16/9
,,,,,,,,,,,,,,,,1744/인슐 탄수 X
,,,,,,,,,,,,,,,,2018/인슐 탄수 0하고 제대로된 값하고 섞여있음/22/11
,,,,,,,,,,,,,,,,1305/인슐 탄수 0만 입력 되어있음/16/10
,,,,,,,,,,,,,,,,997/인슐 탄수 0만 입력 되어있음/13/10
,,,,,,,,,,,,,,,,1448인슐 탄수 0만 입력 되어있음/16/25
,,,,,,,,,,,,,,,,1968/인슐 X 탄수화물만 (16번)
RMSE,,,,,,,,,,,,,,,,
