TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
1_Sam,10.777896,16.884422,26.061949,9.883951,15.514004,22.68562,9.596241,15.961088,23.162757,10.568643,15.432405,24.991287,10.818639,16.37565,23.526114,인슐 탄수 X
3_Sam,11.291516,19.85695,34.731615,17.865409,21.025206,34.362909,11.918298,19.827317,34.490443,11.96543,21.500887,35.606607,11.672977,20.184643,34.326333,인슐 탄수 X
4_Sam,9.363686,15.568055,26.577163,9.148499,14.380306,25.146244,9.55501,14.013715,24.142838,9.127962,14.432273,24.961657,9.239625,14.427715,24.908873,
5_Sam,11.611035,19.834905,31.695736,11.971885,19.039282,31.680917,10.733328,18.342619,30.627319,11.34631,19.425191,31.766613,11.110816,19.414202,31.592795,탄수 X
6_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
7_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
8_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
9_Sam,,,,,,,,,,,,,,,,인슐 탄수 X
10_Sam,,,,,,,,,,,,,,,,
11_Sam,,,,,,,,,,,,,,,,인슐 탄수 0하고 제대로된 값하고 섞여있음
12_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
13_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
14_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
15_Sam,,,,,,,,,,,,,,,,인슐 탄수 0하고 제대로된 값하고 섞여있음
16_Sam,,,,,,,,,,,,,,,,인슐 탄수 0하고 제대로된 값하고 섞여있음
17_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
18_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
19_Sam,,,,,,,,,,,,,,,,인슐 탄수 0만 입력 되어있음 
20_Sam,,,,,,,,,,,,,,,,데이터 너무 적음 
21_Sam,,,,,,,,,,,,,,,,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,,,,,,,,,,,,,,,,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,,,,,,,,,,,,,,,,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,,,,,,,,,,,,,,,,553/인슐린 X 탄수화물만 (2번)
25_Sam,,,,,,,,,,,,,,,,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,,,,,,,,,,,,,,,,1143/인슐 탄수 0만 입력 되어있음
27_Sam,,,,,,,,,,,,,,,,2010/인슐 탄수 0만 입력 되어있음
28_Sam,,,,,,,,,,,,,,,,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
29_Sam,,,,,,,,,,,,,,,,685/인슐 탄수 0만 입력 되어있음
30_Sam,,,,,,,,,,,,,,,,1242/인슐 탄수 0만 입력 되어있음
31_Sam,,,,,,,,,,,,,,,,1453/인슐 탄수 0만 입력 되어있음
32_Sam,,,,,,,,,,,,,,,,2003/인슐 탄수 0하고 제대로된 값하고 섞여있음
33_Sam,,,,,,,,,,,,,,,,1415/인슐 탄수 0하고 제대로된 값하고 섞여있음
34_Sam,,,,,,,,,,,,,,,,1295/인슐 탄수 0만 입력 되어있음
35_Sam,,,,,,,,,,,,,,,,2014/인슐 X 탄수화물만 (2번)
36_Sam,,,,,,,,,,,,,,,,1710/인슐 탄수 0만 입력 되어있음
37_Sam,,,,,,,,,,,,,,,,2053/인슐 탄수 0만 입력 되어있음
38_Sam,,,,,,,,,,,,,,,,1485/인슐 탄수 0만 입력 되어있음
39_Sam,,,,,,,,,,,,,,,,1473/인슐 탄수 0만 입력 되어있음
40_Sam,,,,,,,,,,,,,,,,1874/인슐 탄수 0만 입력 되어있음/6/20
41_Sam,,,,,,,,,,,,,,,,1947/인슐 X 탄수화물만 (2번)
42_Sam,,,,,,,,,,,,,,,,1147/인슐 탄수 0만 입력 되어있음/15/13
PASS,,,,,,,,,,,,,,,,90/인슐 탄수 0만 입력 되어있음/2/1
44_Sam,,,,,,,,,,,,,,,,1307/인슐 탄수 0만 입력 되어있음/19/14
PASS,,,,,,,,,,,,,,,,24/인슐 탄수 0만 입력 되어있음/4/3/전부 교정
46_Sam,,,,,,,,,,,,,,,,2053/인슐 탄수 0만 입력 되어있음/22/24
47_Sam,,,,,,,,,,,,,,,,2054/인슐 탄수 0만 입력 되어있음/19/11
48_Sam,,,,,,,,,,,,,,,,1179/인슐 탄수 0만 입력 되어있음/11/16
,,,,,,,,,,,,,,,,1924/인슐 탄수 0만 입력 되어있음/16/9
,,,,,,,,,,,,,,,,1744/인슐 탄수 X
,,,,,,,,,,,,,,,,2018/인슐 탄수 0하고 제대로된 값하고 섞여있음/22/11
,,,,,,,,,,,,,,,,1305/인슐 탄수 0만 입력 되어있음/16/10
,,,,,,,,,,,,,,,,997/인슐 탄수 0만 입력 되어있음/13/10
,,,,,,,,,,,,,,,,1448인슐 탄수 0만 입력 되어있음/16/25
,,,,,,,,,,,,,,,,1968/인슐 X 탄수화물만 (16번)
RMSE,12.72894905,21.08272075,33.01456564,12.56623664,20.63401257,32.07895639,12.276703,20.04697918,31.38140048,12.57211818,20.59566027,31.8967528,12.32620398,20.22613325,31.81665948,
